違反槍砲彈藥刀械管制條例概況,發生數(件) / 新北市 ,發生數(件) / 臺北市 ,發生數(件) / 桃園市 ,發生數(件) / 臺中市 ,發生數(件) / 臺南市 ,發生數(件) / 高雄市 ,發生數(件) / 臺灣省 ,發生數(件) / 福建省 ,破獲數(件) / 新北市 ,破獲數(件) / 臺北市 ,破獲數(件) / 桃園市 ,破獲數(件) / 臺中市 ,破獲數(件) / 臺南市 ,破獲數(件) / 高雄市 ,破獲數(件) / 臺灣省 ,破獲數(件) / 福建省 
92年 11月,20,8,26,23,9,15,183,1,14,12,23,21,11,14,175,1
92年 12月,30,7,16,24,10,24,155,         －,20,16,14,22,13,19,141,         －
93年,477,189,396,337,185,348,"2,803",         －,362,319,349,333,179,358,"2,570",         －
93年 1月,41,7,30,22,13,20,211,         －,29,18,26,25,13,16,200,         －
93年 2月,31,14,17,22,13,21,186,         －,28,20,17,16,11,19,171,         －
93年 3月,23,8,29,24,13,31,190,         －,21,13,25,26,13,38,176,         －
93年 4月,32,11,21,15,12,24,173,         －,25,18,17,14,9,27,156,         －
93年 5月,34,13,22,17,8,23,154,         －,30,17,20,12,11,24,140,         －
93年 6月,20,11,16,14,13,20,160,         －,15,15,15,13,11,25,147,         －
93年 7月,65,23,72,31,22,25,376,         －,52,40,66,36,23,21,354,         －
93年 8月,42,27,31,51,11,40,281,         －,30,40,27,48,11,39,259,         －
93年 9月,62,21,60,51,29,44,367,         －,45,45,50,50,28,44,334,         －
93年 10月,41,17,33,33,17,35,248,         －,33,27,26,33,15,39,228,         －
93年 11月,53,17,35,32,21,34,263,         －,39,33,35,33,22,34,241,         －
93年 12月,33,20,30,25,13,31,194,         －,15,33,25,27,12,32,164,         －
94年,561,190,347,301,173,287,"2,309",1,390,360,307,277,171,294,"2,020",1
94年 1月,74,27,42,30,18,25,280,         －,56,47,40,28,19,26,255,         －
94年 2月,41,8,14,28,19,25,173,         －,24,23,11,28,22,23,155,         －
94年 3月,23,20,31,21,18,20,187,         －,16,27,28,18,19,23,167,         －
94年 4月,48,11,23,33,12,27,190,1,33,23,19,29,12,26,159,1
94年 5月,39,17,37,23,14,28,197,         －,25,35,30,23,13,29,167,         －
94年 6月,53,18,26,24,12,31,189,         －,39,33,26,22,10,32,168,         －
94年 7月,57,14,37,34,15,17,224,         －,40,32,28,32,15,17,196,         －
94年 8月,52,14,21,27,15,25,192,         －,43,28,16,26,16,24,168,         －
94年 9月,41,17,35,26,17,19,197,         －,27,30,33,24,13,22,172,         －
94年 10月,54,16,28,24,10,23,173,         －,36,31,27,19,10,23,151,         －
94年 11月,44,17,26,18,12,20,158,         －,27,31,24,16,13,20,133,         －
94年 12月,35,11,27,13,11,27,149,         －,24,20,25,12,9,29,129,         －
95年,442,181,287,214,182,245,"1,944",         －,326,321,225,234,173,245,"1,758",         －
95年 1月,57,26,22,27,27,31,248,         －,40,43,18,29,30,30,235,         －
95年 2月,26,12,23,30,11,27,165,         －,15,26,18,29,9,30,144,         －
95年 3月,35,11,25,17,13,27,157,         －,28,18,16,19,15,24,141,         －
95年 4月,38,16,27,22,14,19,178,         －,25,31,26,22,13,17,159,         －
95年 5月,39,16,31,15,27,21,196,         －,24,38,21,16,22,20,167,         －
95年 6月,20,21,21,19,9,29,124,         －,17,24,16,20,10,31,115,         －
95年 7月,46,15,30,15,14,17,165,         －,37,27,22,19,10,17,153,         －
95年 8月,47,11,28,17,10,9,174,         －,31,28,24,25,9,10,157,         －
95年 9月,40,18,28,16,23,27,191,         －,28,28,26,18,20,30,175,         －
95年 10月,31,10,26,17,12,12,132,         －,31,14,22,20,12,10,125,         －
95年 11月,32,15,20,11,7,17,117,         －,30,24,13,9,9,17,105,         －
95年 12月,31,10,6,8,15,9,97,         －,20,20,3,8,14,9,82,         －
96年,360,126,172,191,113,175,"1,541",1,309,213,137,220,109,178,"1,395",1
96年 1月,25,9,11,12,8,17,89,         －,20,16,6,15,6,17,78,         －
96年 2月,36,13,9,20,10,14,136,1,28,21,8,24,13,10,130,1
96年 3月,27,19,10,9,13,28,141,         －,17,33,7,12,15,28,117,         －
96年 4月,11,10,10,16,11,12,91,         －,7,13,11,16,10,10,82,         －
96年 5月,45,17,19,21,11,16,161,         －,42,29,13,27,9,17,141,         －
96年 6月,36,8,21,14,6,12,142,         －,38,12,17,18,4,14,132,         －
96年 7月,45,11,18,22,8,16,166,         －,38,19,17,23,10,16,154,         －
96年 8月,24,11,13,15,13,10,121,         －,17,17,10,17,12,15,109,         －
96年 9月,37,9,20,18,7,8,132,         －,33,15,15,19,6,10,119,         －
96年 10月,21,5,12,13,12,22,132,         －,22,8,10,18,11,22,127,         －
96年 11月,30,8,12,10,10,13,117,         －,23,21,10,10,10,12,100,         －
96年 12月,23,6,17,21,4,7,113,         －,24,9,13,21,3,7,106,         －
97年,291,103,190,156,128,164,"1,365",9,223,188,161,189,125,175,"1,247",9
97年 1月,30,14,20,21,19,10,141,1,20,21,24,25,20,9,132,1
